ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
1871,"NOR(AND(XNOR(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",NOR -> AND -> XNOR -> NOT,7,10.5,4,0
1872,"NOR(AND(XNOR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 1]",NOR -> AND -> XNOR -> BUFFER,6.2,9.5,4,0
1873,"NOR(AND(NOT(AND(A, B)), D), E)","[0, 0, 0, 1, 1]",NOR -> AND -> NOT -> AND,6.5,10,4,0
1874,"NOR(AND(NOT(OR(A, B)), D), E)","[1, 1, 0, 1, 0]",NOR -> AND -> NOT -> OR,6.5,10,4,1
1875,"NOR(AND(NOT(XOR(A, B)), D), E)","[1, 0, 1, 1, 1]",NOR -> AND -> NOT -> XOR,7,10.5,4,0
1876,"NOR(AND(NOT(NAND(A, B)), D), E)","[1, 0, 0, 0, 0]",NOR -> AND -> NOT -> NAND,6,9.5,4,1
1877,"NOR(AND(NOT(NOR(A, B)), D), E)","[1, 1, 1, 0, 0]",NOR -> AND -> NOT -> NOR,6,9.5,4,1
1878,"NOR(AND(NOT(XNOR(A, B)), D), E)","[1, 1, 1, 0, 0]",NOR -> AND -> NOT -> XNOR,7,10.5,4,1
1879,"NOR(AND(BUFFER(AND(A, B)), D), E)","[1, 0, 1, 1, 0]",NOR -> AND -> BUFFER -> AND,5.7,9,4,1
1880,"NOR(AND(BUFFER(OR(A, B)), D), E)","[1, 0, 1, 1, 0]",NOR -> AND -> BUFFER -> OR,5.7,9,4,0
1881,"NOR(AND(BUFFER(XOR(A, B)), D), E)","[1, 1, 1, 0, 0]",NOR -> AND -> BUFFER -> XOR,6.2,9.5,4,1
1882,"NOR(AND(BUFFER(NAND(A, B)), D), E)","[1, 0, 0, 1, 0]",NOR -> AND -> BUFFER -> NAND,5.2,8.5,4,0
1883,"NOR(AND(BUFFER(NOR(A, B)), D), E)","[0, 0, 1, 1, 1]",NOR -> AND -> BUFFER -> NOR,5.2,8.5,4,0
1884,"NOR(AND(BUFFER(XNOR(A, B)), D), E)","[0, 1, 0, 1, 1]",NOR -> AND -> BUFFER -> XNOR,6.2,9.5,4,0
1885,"NOR(OR(AND(AND(A, B), C), D), E)","[0, 0, 1, 1, 1]",NOR -> OR -> AND -> AND,7.5,11.5,4,0
1886,"NOR(OR(AND(OR(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> OR -> AND -> OR,7.5,11.5,4,0
1887,"NOR(OR(AND(XOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> OR -> AND -> XOR,8,12,4,0
1888,"NOR(OR(AND(NAND(A, B), C), D), E)","[0, 0, 1, 0, 0]",NOR -> OR -> AND -> NAND,7,11,4,0
1889,"NOR(OR(AND(NOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> OR -> AND -> NOR,7,11,4,0
1890,"NOR(OR(AND(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> OR -> AND -> XNOR,8,12,4,0
1891,"NOR(OR(AND(NOT(A), C), D), E)","[1, 1, 0, 0, 0]",NOR -> OR -> AND -> NOT,6.5,10,4,1
1892,"NOR(OR(AND(BUFFER(A), C), D), E)","[0, 0, 1, 0, 1]",NOR -> OR -> AND -> BUFFER,5.7,9,4,0
1893,"NOR(OR(OR(AND(A, B), C), D), E)","[0, 1, 0, 0, 1]",NOR -> OR -> OR -> AND,7.5,11.5,4,0
1894,"NOR(OR(OR(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> OR -> OR -> OR,7.5,11.5,4,0
1895,"NOR(OR(OR(XOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> OR -> OR -> XOR,8,12,4,0
1896,"NOR(OR(OR(NAND(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> OR -> OR -> NAND,7,11,4,1
1897,"NOR(OR(OR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> OR -> OR -> NOR,7,11,4,0
1898,"NOR(OR(OR(XNOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",NOR -> OR -> OR -> XNOR,8,12,4,1
1899,"NOR(OR(OR(NOT(A), C), D), E)","[1, 0, 0, 1, 0]",NOR -> OR -> OR -> NOT,6.5,10,4,0
1900,"NOR(OR(OR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 1]",NOR -> OR -> OR -> BUFFER,5.7,9,4,0
1901,"NOR(OR(XOR(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> OR -> XOR -> AND,8,12,4,0
1902,"NOR(OR(XOR(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> OR -> XOR -> OR,8,12,4,0
1903,"NOR(OR(XOR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",NOR -> OR -> XOR -> XOR,8.5,12.5,4,0
1904,"NOR(OR(XOR(NAND(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> OR -> XOR -> NAND,7.5,11.5,4,0
1905,"NOR(OR(XOR(NOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> OR -> XOR -> NOR,7.5,11.5,4,0
1906,"NOR(OR(XOR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",NOR -> OR -> XOR -> XNOR,8.5,12.5,4,0
1907,"NOR(OR(XOR(NOT(A), C), D), E)","[1, 0, 0, 0, 0]",NOR -> OR -> XOR -> NOT,7,10.5,4,1
1908,"NOR(OR(XOR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 0]",NOR -> OR -> XOR -> BUFFER,6.2,9.5,4,1
1909,"NOR(OR(NAND(AND(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> OR -> NAND -> AND,7,11,4,0
1910,"NOR(OR(NAND(OR(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> OR -> NAND -> OR,7,11,4,0
1911,"NOR(OR(NAND(XOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> OR -> NAND -> XOR,7.5,11.5,4,0
1912,"NOR(OR(NAND(NAND(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> OR -> NAND -> NAND,6.5,10.5,4,0
1913,"NOR(OR(NAND(NOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",NOR -> OR -> NAND -> NOR,6.5,10.5,4,0
1914,"NOR(OR(NAND(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> OR -> NAND -> XNOR,7.5,11.5,4,0
1915,"NOR(OR(NAND(NOT(A), C), D), E)","[0, 0, 0, 0, 1]",NOR -> OR -> NAND -> NOT,6,9.5,4,0
1916,"NOR(OR(NAND(BUFFER(A), C), D), E)","[1, 0, 0, 1, 1]",NOR -> OR -> NAND -> BUFFER,5.2,8.5,4,0
1917,"NOR(OR(NOR(AND(A, B), C), D), E)","[1, 0, 1, 0, 0]",NOR -> OR -> NOR -> AND,7,11,4,1
1918,"NOR(OR(NOR(OR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> OR -> NOR -> OR,7,11,4,0
1919,"NOR(OR(NOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> OR -> NOR -> XOR,7.5,11.5,4,0
1920,"NOR(OR(NOR(NAND(A, B), C), D), E)","[0, 0, 1, 1, 1]",NOR -> OR -> NOR -> NAND,6.5,10.5,4,0
1921,"NOR(OR(NOR(NOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> OR -> NOR -> NOR,6.5,10.5,4,1
1922,"NOR(OR(NOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> OR -> NOR -> XNOR,7.5,11.5,4,0
1923,"NOR(OR(NOR(NOT(A), C), D), E)","[0, 1, 0, 1, 0]",NOR -> OR -> NOR -> NOT,6,9.5,4,0
1924,"NOR(OR(NOR(BUFFER(A), C), D), E)","[0, 0, 0, 1, 1]",NOR -> OR -> NOR -> BUFFER,5.2,8.5,4,0
1925,"NOR(OR(XNOR(AND(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> OR -> XNOR -> AND,8,12,4,0
1926,"NOR(OR(XNOR(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> OR -> XNOR -> OR,8,12,4,0
1927,"NOR(OR(XNOR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 1]",NOR -> OR -> XNOR -> XOR,8.5,12.5,4,0
1928,"NOR(OR(XNOR(NAND(A, B), C), D), E)","[1, 1, 0, 1, 0]",NOR -> OR -> XNOR -> NAND,7.5,11.5,4,0
1929,"NOR(OR(XNOR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",NOR -> OR -> XNOR -> NOR,7.5,11.5,4,0
1930,"NOR(OR(XNOR(XNOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> OR -> XNOR -> XNOR,8.5,12.5,4,0
1931,"NOR(OR(XNOR(NOT(A), C), D), E)","[0, 0, 0, 1, 1]",NOR -> OR -> XNOR -> NOT,7,10.5,4,0
1932,"NOR(OR(XNOR(BUFFER(A), C), D), E)","[1, 0, 1, 1, 1]",NOR -> OR -> XNOR -> BUFFER,6.2,9.5,4,0
1933,"NOR(OR(NOT(AND(A, B)), D), E)","[0, 0, 1, 0, 1]",NOR -> OR -> NOT -> AND,6.5,10,4,0
1934,"NOR(OR(NOT(OR(A, B)), D), E)","[0, 1, 0, 0, 1]",NOR -> OR -> NOT -> OR,6.5,10,4,0
1935,"NOR(OR(NOT(XOR(A, B)), D), E)","[0, 0, 0, 1, 1]",NOR -> OR -> NOT -> XOR,7,10.5,4,0
1936,"NOR(OR(NOT(NAND(A, B)), D), E)","[1, 1, 0, 1, 1]",NOR -> OR -> NOT -> NAND,6,9.5,4,0
1937,"NOR(OR(NOT(NOR(A, B)), D), E)","[1, 1, 1, 1, 0]",NOR -> OR -> NOT -> NOR,6,9.5,4,0
1938,"NOR(OR(NOT(XNOR(A, B)), D), E)","[1, 1, 1, 0, 1]",NOR -> OR -> NOT -> XNOR,7,10.5,4,0
1939,"NOR(OR(BUFFER(AND(A, B)), D), E)","[1, 0, 0, 0, 1]",NOR -> OR -> BUFFER -> AND,5.7,9,4,0
1940,"NOR(OR(BUFFER(OR(A, B)), D), E)","[1, 0, 1, 0, 0]",NOR -> OR -> BUFFER -> OR,5.7,9,4,0
1941,"NOR(OR(BUFFER(XOR(A, B)), D), E)","[1, 1, 0, 0, 0]",NOR -> OR -> BUFFER -> XOR,6.2,9.5,4,1
1942,"NOR(OR(BUFFER(NAND(A, B)), D), E)","[0, 0, 1, 0, 1]",NOR -> OR -> BUFFER -> NAND,5.2,8.5,4,0
1943,"NOR(OR(BUFFER(NOR(A, B)), D), E)","[1, 1, 1, 1, 0]",NOR -> OR -> BUFFER -> NOR,5.2,8.5,4,0
1944,"NOR(OR(BUFFER(XNOR(A, B)), D), E)","[1, 0, 1, 0, 0]",NOR -> OR -> BUFFER -> XNOR,6.2,9.5,4,1
1945,"NOR(XOR(AND(AND(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> XOR -> AND -> AND,8,12,4,0
1946,"NOR(XOR(AND(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> XOR -> AND -> OR,8,12,4,0
1947,"NOR(XOR(AND(XOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> XOR -> AND -> XOR,8.5,12.5,4,0
1948,"NOR(XOR(AND(NAND(A, B), C), D), E)","[1, 1, 1, 0, 1]",NOR -> XOR -> AND -> NAND,7.5,11.5,4,0
1949,"NOR(XOR(AND(NOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> XOR -> AND -> NOR,7.5,11.5,4,0
1950,"NOR(XOR(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> XOR -> AND -> XNOR,8.5,12.5,4,0
1951,"NOR(XOR(AND(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",NOR -> XOR -> AND -> NOT,7,10.5,4,0
1952,"NOR(XOR(AND(BUFFER(A), C), D), E)","[0, 1, 1, 1, 1]",NOR -> XOR -> AND -> BUFFER,6.2,9.5,4,0
1953,"NOR(XOR(OR(AND(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> XOR -> OR -> AND,8,12,4,0
1954,"NOR(XOR(OR(OR(A, B), C), D), E)","[1, 1, 1, 0, 1]",NOR -> XOR -> OR -> OR,8,12,4,0
1955,"NOR(XOR(OR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",NOR -> XOR -> OR -> XOR,8.5,12.5,4,0
1956,"NOR(XOR(OR(NAND(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> XOR -> OR -> NAND,7.5,11.5,4,0
1957,"NOR(XOR(OR(NOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",NOR -> XOR -> OR -> NOR,7.5,11.5,4,1
1958,"NOR(XOR(OR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",NOR -> XOR -> OR -> XNOR,8.5,12.5,4,0
1959,"NOR(XOR(OR(NOT(A), C), D), E)","[1, 0, 1, 1, 0]",NOR -> XOR -> OR -> NOT,7,10.5,4,1
1960,"NOR(XOR(OR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 0]",NOR -> XOR -> OR -> BUFFER,6.2,9.5,4,0
1961,"NOR(XOR(XOR(AND(A, B), C), D), E)","[0, 0, 0, 0, 0]",NOR -> XOR -> XOR -> AND,8.5,12.5,4,1
1962,"NOR(XOR(XOR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> XOR -> XOR -> OR,8.5,12.5,4,0
1963,"NOR(XOR(XOR(XOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> XOR -> XOR -> XOR,9,13,4,0
1964,"NOR(XOR(XOR(NAND(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> XOR -> XOR -> NAND,8,12,4,0
1965,"NOR(XOR(XOR(NOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",NOR -> XOR -> XOR -> NOR,8,12,4,0
1966,"NOR(XOR(XOR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",NOR -> XOR -> XOR -> XNOR,9,13,4,0
1967,"NOR(XOR(XOR(NOT(A), C), D), E)","[1, 0, 0, 0, 1]",NOR -> XOR -> XOR -> NOT,7.5,11,4,0
1968,"NOR(XOR(XOR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 1]",NOR -> XOR -> XOR -> BUFFER,6.7,10,4,0
1969,"NOR(XOR(NAND(AND(A, B), C), D), E)","[0, 0, 1, 1, 0]",NOR -> XOR -> NAND -> AND,7.5,11.5,4,1
1970,"NOR(XOR(NAND(OR(A, B), C), D), E)","[1, 0, 0, 0, 0]",NOR -> XOR -> NAND -> OR,7.5,11.5,4,0
1971,"NOR(XOR(NAND(XOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> XOR -> NAND -> XOR,8,12,4,0
1972,"NOR(XOR(NAND(NAND(A, B), C), D), E)","[1, 0, 1, 0, 0]",NOR -> XOR -> NAND -> NAND,7,11,4,1
1973,"NOR(XOR(NAND(NOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> XOR -> NAND -> NOR,7,11,4,1
1974,"NOR(XOR(NAND(XNOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",NOR -> XOR -> NAND -> XNOR,8,12,4,0
1975,"NOR(XOR(NAND(NOT(A), C), D), E)","[0, 1, 0, 1, 0]",NOR -> XOR -> NAND -> NOT,6.5,10,4,1
1976,"NOR(XOR(NAND(BUFFER(A), C), D), E)","[1, 1, 0, 0, 0]",NOR -> XOR -> NAND -> BUFFER,5.7,9,4,0
1977,"NOR(XOR(NOR(AND(A, B), C), D), E)","[1, 1, 1, 1, 1]",NOR -> XOR -> NOR -> AND,7.5,11.5,4,0
1978,"NOR(XOR(NOR(OR(A, B), C), D), E)","[0, 0, 0, 1, 0]",NOR -> XOR -> NOR -> OR,7.5,11.5,4,1
1979,"NOR(XOR(NOR(XOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> XOR -> NOR -> XOR,8,12,4,1
1980,"NOR(XOR(NOR(NAND(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> XOR -> NOR -> NAND,7,11,4,1
1981,"NOR(XOR(NOR(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> XOR -> NOR -> NOR,7,11,4,0
1982,"NOR(XOR(NOR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> XOR -> NOR -> XNOR,8,12,4,0
1983,"NOR(XOR(NOR(NOT(A), C), D), E)","[1, 0, 0, 1, 0]",NOR -> XOR -> NOR -> NOT,6.5,10,4,1
1984,"NOR(XOR(NOR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 0]",NOR -> XOR -> NOR -> BUFFER,5.7,9,4,1
1985,"NOR(XOR(XNOR(AND(A, B), C), D), E)","[0, 0, 0, 1, 0]",NOR -> XOR -> XNOR -> AND,8.5,12.5,4,1
1986,"NOR(XOR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> XOR -> XNOR -> OR,8.5,12.5,4,0
1987,"NOR(XOR(XNOR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",NOR -> XOR -> XNOR -> XOR,9,13,4,0
1988,"NOR(XOR(XNOR(NAND(A, B), C), D), E)","[1, 0, 1, 0, 1]",NOR -> XOR -> XNOR -> NAND,8,12,4,0
1989,"NOR(XOR(XNOR(NOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",NOR -> XOR -> XNOR -> NOR,8,12,4,0
1990,"NOR(XOR(XNOR(XNOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> XOR -> XNOR -> XNOR,9,13,4,0
1991,"NOR(XOR(XNOR(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",NOR -> XOR -> XNOR -> NOT,7.5,11,4,0
1992,"NOR(XOR(XNOR(BUFFER(A), C), D), E)","[1, 1, 0, 1, 1]",NOR -> XOR -> XNOR -> BUFFER,6.7,10,4,0
1993,"NOR(XOR(NOT(AND(A, B)), D), E)","[1, 0, 0, 0, 1]",NOR -> XOR -> NOT -> AND,7,10.5,4,0
1994,"NOR(XOR(NOT(OR(A, B)), D), E)","[0, 0, 1, 1, 1]",NOR -> XOR -> NOT -> OR,7,10.5,4,0
1995,"NOR(XOR(NOT(XOR(A, B)), D), E)","[1, 0, 0, 0, 1]",NOR -> XOR -> NOT -> XOR,7.5,11,4,0
1996,"NOR(XOR(NOT(NAND(A, B)), D), E)","[0, 0, 1, 1, 0]",NOR -> XOR -> NOT -> NAND,6.5,10,4,0
1997,"NOR(XOR(NOT(NOR(A, B)), D), E)","[1, 0, 1, 1, 0]",NOR -> XOR -> NOT -> NOR,6.5,10,4,1
1998,"NOR(XOR(NOT(XNOR(A, B)), D), E)","[1, 1, 1, 0, 1]",NOR -> XOR -> NOT -> XNOR,7.5,11,4,0
1999,"NOR(XOR(BUFFER(AND(A, B)), D), E)","[1, 1, 0, 1, 0]",NOR -> XOR -> BUFFER -> AND,6.2,9.5,4,1
2000,"NOR(XOR(BUFFER(OR(A, B)), D), E)","[0, 0, 0, 1, 0]",NOR -> XOR -> BUFFER -> OR,6.2,9.5,4,0
2001,"NOR(XOR(BUFFER(XOR(A, B)), D), E)","[0, 0, 1, 1, 0]",NOR -> XOR -> BUFFER -> XOR,6.7,10,4,0
2002,"NOR(XOR(BUFFER(NAND(A, B)), D), E)","[0, 0, 1, 0, 1]",NOR -> XOR -> BUFFER -> NAND,5.7,9,4,0
2003,"NOR(XOR(BUFFER(NOR(A, B)), D), E)","[1, 1, 0, 1, 1]",NOR -> XOR -> BUFFER -> NOR,5.7,9,4,0
2004,"NOR(XOR(BUFFER(XNOR(A, B)), D), E)","[0, 1, 1, 1, 1]",NOR -> XOR -> BUFFER -> XNOR,6.7,10,4,0
2005,"NOR(NAND(AND(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> NAND -> AND -> AND,7,11,4,0
2006,"NOR(NAND(AND(OR(A, B), C), D), E)","[0, 1, 1, 0, 1]",NOR -> NAND -> AND -> OR,7,11,4,0
2007,"NOR(NAND(AND(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",NOR -> NAND -> AND -> XOR,7.5,11.5,4,0
2008,"NOR(NAND(AND(NAND(A, B), C), D), E)","[1, 1, 0, 1, 0]",NOR -> NAND -> AND -> NAND,6.5,10.5,4,0
2009,"NOR(NAND(AND(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NAND -> AND -> NOR,6.5,10.5,4,0
2010,"NOR(NAND(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",NOR -> NAND -> AND -> XNOR,7.5,11.5,4,0
2011,"NOR(NAND(AND(NOT(A), C), D), E)","[1, 1, 1, 1, 1]",NOR -> NAND -> AND -> NOT,6,9.5,4,0
2012,"NOR(NAND(AND(BUFFER(A), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NAND -> AND -> BUFFER,5.2,8.5,4,0
2013,"NOR(NAND(OR(AND(A, B), C), D), E)","[1, 1, 0, 1, 1]",NOR -> NAND -> OR -> AND,7,11,4,0
2014,"NOR(NAND(OR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> NAND -> OR -> OR,7,11,4,0
2015,"NOR(NAND(OR(XOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> OR -> XOR,7.5,11.5,4,0
2016,"NOR(NAND(OR(NAND(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> NAND -> OR -> NAND,6.5,10.5,4,0
2017,"NOR(NAND(OR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",NOR -> NAND -> OR -> NOR,6.5,10.5,4,1
2018,"NOR(NAND(OR(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",NOR -> NAND -> OR -> XNOR,7.5,11.5,4,0
2019,"NOR(NAND(OR(NOT(A), C), D), E)","[1, 1, 1, 0, 0]",NOR -> NAND -> OR -> NOT,6,9.5,4,0
2020,"NOR(NAND(OR(BUFFER(A), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> OR -> BUFFER,5.2,8.5,4,0
2021,"NOR(NAND(XOR(AND(A, B), C), D), E)","[1, 0, 1, 1, 0]",NOR -> NAND -> XOR -> AND,7.5,11.5,4,1
2022,"NOR(NAND(XOR(OR(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> NAND -> XOR -> OR,7.5,11.5,4,0
2023,"NOR(NAND(XOR(XOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> XOR -> XOR,8,12,4,0
2024,"NOR(NAND(XOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> NAND -> XOR -> NAND,7,11,4,0
2025,"NOR(NAND(XOR(NOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",NOR -> NAND -> XOR -> NOR,7,11,4,0
2026,"NOR(NAND(XOR(XNOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> NAND -> XOR -> XNOR,8,12,4,0
2027,"NOR(NAND(XOR(NOT(A), C), D), E)","[1, 1, 0, 1, 0]",NOR -> NAND -> XOR -> NOT,6.5,10,4,0
2028,"NOR(NAND(XOR(BUFFER(A), C), D), E)","[0, 0, 0, 0, 0]",NOR -> NAND -> XOR -> BUFFER,5.7,9,4,0
2029,"NOR(NAND(NAND(AND(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NAND -> NAND -> AND,6.5,10.5,4,0
2030,"NOR(NAND(NAND(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> NAND -> NAND -> OR,6.5,10.5,4,0
2031,"NOR(NAND(NAND(XOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> NAND -> NAND -> XOR,7,11,4,0
2032,"NOR(NAND(NAND(NAND(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> NAND -> NAND -> NAND,6,10,4,0
2033,"NOR(NAND(NAND(NOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",NOR -> NAND -> NAND -> NOR,6,10,4,0
2034,"NOR(NAND(NAND(XNOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> NAND -> NAND -> XNOR,7,11,4,0
2035,"NOR(NAND(NAND(NOT(A), C), D), E)","[1, 0, 1, 1, 0]",NOR -> NAND -> NAND -> NOT,5.5,9,4,1
2036,"NOR(NAND(NAND(BUFFER(A), C), D), E)","[0, 1, 1, 0, 0]",NOR -> NAND -> NAND -> BUFFER,4.7,8,4,0
2037,"NOR(NAND(NOR(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> NOR -> AND,6.5,10.5,4,0
2038,"NOR(NAND(NOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 0]",NOR -> NAND -> NOR -> OR,6.5,10.5,4,0
2039,"NOR(NAND(NOR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NAND -> NOR -> XOR,7,11,4,0
2040,"NOR(NAND(NOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NAND -> NOR -> NAND,6,10,4,0
2041,"NOR(NAND(NOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NAND -> NOR -> NOR,6,10,4,0
2042,"NOR(NAND(NOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",NOR -> NAND -> NOR -> XNOR,7,11,4,0
2043,"NOR(NAND(NOR(NOT(A), C), D), E)","[1, 1, 0, 1, 1]",NOR -> NAND -> NOR -> NOT,5.5,9,4,0
2044,"NOR(NAND(NOR(BUFFER(A), C), D), E)","[0, 0, 0, 1, 1]",NOR -> NAND -> NOR -> BUFFER,4.7,8,4,0
2045,"NOR(NAND(XNOR(AND(A, B), C), D), E)","[0, 1, 0, 0, 0]",NOR -> NAND -> XNOR -> AND,7.5,11.5,4,0
2046,"NOR(NAND(XNOR(OR(A, B), C), D), E)","[0, 1, 0, 1, 0]",NOR -> NAND -> XNOR -> OR,7.5,11.5,4,0
2047,"NOR(NAND(XNOR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NAND -> XNOR -> XOR,8,12,4,0
2048,"NOR(NAND(XNOR(NAND(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> NAND -> XNOR -> NAND,7,11,4,0
2049,"NOR(NAND(XNOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> NAND -> XNOR -> NOR,7,11,4,0
2050,"NOR(NAND(XNOR(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> NAND -> XNOR -> XNOR,8,12,4,0
2051,"NOR(NAND(XNOR(NOT(A), C), D), E)","[1, 1, 0, 1, 1]",NOR -> NAND -> XNOR -> NOT,6.5,10,4,0
2052,"NOR(NAND(XNOR(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",NOR -> NAND -> XNOR -> BUFFER,5.7,9,4,0
2053,"NOR(NAND(NOT(AND(A, B)), D), E)","[1, 1, 0, 1, 1]",NOR -> NAND -> NOT -> AND,6,9.5,4,0
2054,"NOR(NAND(NOT(OR(A, B)), D), E)","[0, 0, 1, 0, 0]",NOR -> NAND -> NOT -> OR,6,9.5,4,0
2055,"NOR(NAND(NOT(XOR(A, B)), D), E)","[1, 0, 0, 1, 1]",NOR -> NAND -> NOT -> XOR,6.5,10,4,0
