ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
459,"XNOR(OR(NOT(A), C), D)","[1, 1, 0, 1]",XNOR -> OR -> NOT,5.5,8,3,0
460,"XNOR(OR(BUFFER(A), C), D)","[1, 0, 1, 1]",XNOR -> OR -> BUFFER,4.7,7,3,1
461,"XNOR(OR(NAND(A, B), C), D)","[1, 1, 0, 0]",XNOR -> OR -> NAND,6,9,3,0
462,"XNOR(OR(NOR(A, B), C), D)","[1, 1, 1, 1]",XNOR -> OR -> NOR,6,9,3,1
463,"XNOR(OR(XOR(A, B), C), D)","[0, 0, 1, 0]",XNOR -> OR -> XOR,7,10,3,0
464,"XNOR(OR(XNOR(A, B), C), D)","[0, 0, 0, 0]",XNOR -> OR -> XNOR,7,10,3,0
465,"XNOR(NOT(AND(A, B)), D)","[0, 0, 0, 1]",XNOR -> NOT -> AND,5.5,8,3,0
466,"XNOR(NOT(OR(A, B)), D)","[0, 1, 0, 1]",XNOR -> NOT -> OR,5.5,8,3,1
467,"XNOR(NOT(NOT(A)), D)","[0, 0, 1, 1]",XNOR -> NOT -> NOT,4.5,6.5,3,1
468,"XNOR(NOT(BUFFER(A)), D)","[0, 0, 1, 0]",XNOR -> NOT -> BUFFER,3.7,5.5,3,1
469,"XNOR(NOT(NAND(A, B)), D)","[1, 0, 0, 1]",XNOR -> NOT -> NAND,5,7.5,3,0
470,"XNOR(NOT(NOR(A, B)), D)","[1, 1, 0, 0]",XNOR -> NOT -> NOR,5,7.5,3,1
471,"XNOR(NOT(XOR(A, B)), D)","[0, 1, 0, 1]",XNOR -> NOT -> XOR,6,8.5,3,1
472,"XNOR(NOT(XNOR(A, B)), D)","[0, 0, 1, 0]",XNOR -> NOT -> XNOR,6,8.5,3,1
473,"XNOR(BUFFER(AND(A, B)), D)","[0, 0, 0, 1]",XNOR -> BUFFER -> AND,4.7,7,3,1
474,"XNOR(BUFFER(OR(A, B)), D)","[1, 0, 0, 1]",XNOR -> BUFFER -> OR,4.7,7,3,1
475,"XNOR(BUFFER(NOT(A)), D)","[0, 1, 0, 0]",XNOR -> BUFFER -> NOT,3.7,5.5,3,0
476,"XNOR(BUFFER(BUFFER(A)), D)","[0, 1, 0, 1]",XNOR -> BUFFER -> BUFFER,2.9,4.5,3,0
477,"XNOR(BUFFER(NAND(A, B)), D)","[0, 1, 0, 0]",XNOR -> BUFFER -> NAND,4.2,6.5,3,0
478,"XNOR(BUFFER(NOR(A, B)), D)","[1, 0, 1, 1]",XNOR -> BUFFER -> NOR,4.2,6.5,3,0
479,"XNOR(BUFFER(XOR(A, B)), D)","[1, 1, 1, 1]",XNOR -> BUFFER -> XOR,5.2,7.5,3,1
480,"XNOR(BUFFER(XNOR(A, B)), D)","[1, 1, 0, 0]",XNOR -> BUFFER -> XNOR,5.2,7.5,3,0
481,"XNOR(NAND(AND(A, B), C), D)","[1, 0, 0, 0]",XNOR -> NAND -> AND,6,9,3,0
482,"XNOR(NAND(OR(A, B), C), D)","[1, 1, 0, 1]",XNOR -> NAND -> OR,6,9,3,1
483,"XNOR(NAND(NOT(A), C), D)","[1, 0, 1, 0]",XNOR -> NAND -> NOT,5,7.5,3,1
484,"XNOR(NAND(BUFFER(A), C), D)","[1, 0, 0, 0]",XNOR -> NAND -> BUFFER,4.2,6.5,3,0
485,"XNOR(NAND(NAND(A, B), C), D)","[0, 0, 1, 0]",XNOR -> NAND -> NAND,5.5,8.5,3,1
486,"XNOR(NAND(NOR(A, B), C), D)","[0, 1, 0, 1]",XNOR -> NAND -> NOR,5.5,8.5,3,0
487,"XNOR(NAND(XOR(A, B), C), D)","[1, 0, 0, 0]",XNOR -> NAND -> XOR,6.5,9.5,3,0
488,"XNOR(NAND(XNOR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> NAND -> XNOR,6.5,9.5,3,1
489,"XNOR(NOR(AND(A, B), C), D)","[1, 1, 1, 0]",XNOR -> NOR -> AND,6,9,3,0
490,"XNOR(NOR(OR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> NOR -> OR,6,9,3,0
491,"XNOR(NOR(NOT(A), C), D)","[0, 0, 1, 0]",XNOR -> NOR -> NOT,5,7.5,3,0
492,"XNOR(NOR(BUFFER(A), C), D)","[0, 1, 1, 0]",XNOR -> NOR -> BUFFER,4.2,6.5,3,0
493,"XNOR(NOR(NAND(A, B), C), D)","[1, 0, 0, 1]",XNOR -> NOR -> NAND,5.5,8.5,3,0
494,"XNOR(NOR(NOR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> NOR -> NOR,5.5,8.5,3,0
495,"XNOR(NOR(XOR(A, B), C), D)","[1, 1, 1, 1]",XNOR -> NOR -> XOR,6.5,9.5,3,0
496,"XNOR(NOR(XNOR(A, B), C), D)","[1, 0, 1, 0]",XNOR -> NOR -> XNOR,6.5,9.5,3,1
497,"XNOR(XOR(AND(A, B), C), D)","[0, 0, 1, 1]",XNOR -> XOR -> AND,7,10,3,0
498,"XNOR(XOR(OR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> XOR -> OR,7,10,3,0
499,"XNOR(XOR(NOT(A), C), D)","[1, 1, 0, 0]",XNOR -> XOR -> NOT,6,8.5,3,0
500,"XNOR(XOR(BUFFER(A), C), D)","[1, 1, 1, 0]",XNOR -> XOR -> BUFFER,5.2,7.5,3,0
501,"XNOR(XOR(NAND(A, B), C), D)","[0, 1, 1, 1]",XNOR -> XOR -> NAND,6.5,9.5,3,0
502,"XNOR(XOR(NOR(A, B), C), D)","[1, 1, 1, 1]",XNOR -> XOR -> NOR,6.5,9.5,3,1
503,"XNOR(XOR(XOR(A, B), C), D)","[1, 0, 1, 0]",XNOR -> XOR -> XOR,7.5,10.5,3,1
504,"XNOR(XOR(XNOR(A, B), C), D)","[0, 1, 1, 0]",XNOR -> XOR -> XNOR,7.5,10.5,3,0
505,"XNOR(XNOR(AND(A, B), C), D)","[1, 0, 0, 0]",XNOR -> XNOR -> AND,7,10,3,0
506,"XNOR(XNOR(OR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> XNOR -> OR,7,10,3,1
507,"XNOR(XNOR(NOT(A), C), D)","[1, 1, 0, 1]",XNOR -> XNOR -> NOT,6,8.5,3,1
508,"XNOR(XNOR(BUFFER(A), C), D)","[1, 1, 1, 0]",XNOR -> XNOR -> BUFFER,5.2,7.5,3,1
509,"XNOR(XNOR(NAND(A, B), C), D)","[0, 1, 0, 1]",XNOR -> XNOR -> NAND,6.5,9.5,3,0
510,"XNOR(XNOR(NOR(A, B), C), D)","[0, 0, 0, 0]",XNOR -> XNOR -> NOR,6.5,9.5,3,1
511,"XNOR(XNOR(XOR(A, B), C), D)","[1, 0, 1, 0]",XNOR -> XNOR -> XOR,7.5,10.5,3,0
512,"XNOR(XNOR(XNOR(A, B), C), D)","[0, 1, 0, 1]",XNOR -> XNOR -> XNOR,7.5,10.5,3,1
